center_point,envelope
POINT (-70.5909436468 1.1484172533999981),"POLYGON ((-70.8409436468 0.8984172533999981, -70.3409436468 0.8984172533999981, -70.3409436468 1.3984172533999981, -70.8409436468 1.3984172533999981, -70.8409436468 0.8984172533999981))"
POINT (-70.5909436468 1.6484172533999981),"POLYGON ((-70.8409436468 1.3984172533999981, -70.3409436468 1.3984172533999981, -70.3409436468 1.8984172533999981, -70.8409436468 1.8984172533999981, -70.8409436468 1.3984172533999981))"
POINT (-70.5909436468 2.148417253399998),"POLYGON ((-70.8409436468 1.8984172533999981, -70.3409436468 1.8984172533999981, -70.3409436468 2.398417253399998, -70.8409436468 2.398417253399998, -70.8409436468 1.8984172533999981))"
POINT (-70.0909436468 -11.851582746600002),"POLYGON ((-70.3409436468 -12.101582746600002, -69.8409436468 -12.101582746600002, -69.8409436468 -11.601582746600002, -70.3409436468 -11.601582746600002, -70.3409436468 -12.101582746600002))"
POINT (-70.0909436468 -11.351582746600002),"POLYGON ((-70.3409436468 -11.601582746600002, -69.8409436468 -11.601582746600002, -69.8409436468 -11.101582746600002, -70.3409436468 -11.101582746600002, -70.3409436468 -11.601582746600002))"
POINT (-70.0909436468 -10.851582746600002),"POLYGON ((-70.3409436468 -11.101582746600002, -69.8409436468 -11.101582746600002, -69.8409436468 -10.601582746600002, -70.3409436468 -10.601582746600002, -70.3409436468 -11.101582746600002))"
POINT (-70.0909436468 -10.351582746600002),"POLYGON ((-70.3409436468 -10.601582746600002, -69.8409436468 -10.601582746600002, -69.8409436468 -10.101582746600002, -70.3409436468 -10.101582746600002, -70.3409436468 -10.601582746600002))"
POINT (-70.0909436468 -9.851582746600002),"POLYGON ((-70.3409436468 -10.101582746600002, -69.8409436468 -10.101582746600002, -69.8409436468 -9.601582746600002, -70.3409436468 -9.601582746600002, -70.3409436468 -10.101582746600002))"
POINT (-70.0909436468 -9.351582746600002),"POLYGON ((-70.3409436468 -9.601582746600002, -69.8409436468 -9.601582746600002, -69.8409436468 -9.101582746600002, -70.3409436468 -9.101582746600002, -70.3409436468 -9.601582746600002))"
POINT (-70.0909436468 -8.851582746600002),"POLYGON ((-70.3409436468 -9.101582746600002, -69.8409436468 -9.101582746600002, -69.8409436468 -8.601582746600002, -70.3409436468 -8.601582746600002, -70.3409436468 -9.101582746600002))"
POINT (-70.0909436468 -8.351582746600002),"POLYGON ((-70.3409436468 -8.601582746600002, -69.8409436468 -8.601582746600002, -69.8409436468 -8.101582746600002, -70.3409436468 -8.101582746600002, -70.3409436468 -8.601582746600002))"
POINT (-70.0909436468 -7.851582746600002),"POLYGON ((-70.3409436468 -8.101582746600002, -69.8409436468 -8.101582746600002, -69.8409436468 -7.601582746600002, -70.3409436468 -7.601582746600002, -70.3409436468 -8.101582746600002))"
POINT (-70.0909436468 -7.351582746600002),"POLYGON ((-70.3409436468 -7.601582746600002, -69.8409436468 -7.601582746600002, -69.8409436468 -7.101582746600002, -70.3409436468 -7.101582746600002, -70.3409436468 -7.601582746600002))"
POINT (-70.0909436468 -6.851582746600002),"POLYGON ((-70.3409436468 -7.101582746600002, -69.8409436468 -7.101582746600002, -69.8409436468 -6.601582746600002, -70.3409436468 -6.601582746600002, -70.3409436468 -7.101582746600002))"
POINT (-70.0909436468 -6.351582746600002),"POLYGON ((-70.3409436468 -6.601582746600002, -69.8409436468 -6.601582746600002, -69.8409436468 -6.101582746600002, -70.3409436468 -6.101582746600002, -70.3409436468 -6.601582746600002))"
POINT (-70.0909436468 -5.851582746600002),"POLYGON ((-70.3409436468 -6.101582746600002, -69.8409436468 -6.101582746600002, -69.8409436468 -5.601582746600002, -70.3409436468 -5.601582746600002, -70.3409436468 -6.101582746600002))"
POINT (-70.0909436468 -5.351582746600002),"POLYGON ((-70.3409436468 -5.601582746600002, -69.8409436468 -5.601582746600002, -69.8409436468 -5.101582746600002, -70.3409436468 -5.101582746600002, -70.3409436468 -5.601582746600002))"
POINT (-70.0909436468 -4.851582746600002),"POLYGON ((-70.3409436468 -5.101582746600002, -69.8409436468 -5.101582746600002, -69.8409436468 -4.601582746600002, -70.3409436468 -4.601582746600002, -70.3409436468 -5.101582746600002))"
POINT (-70.0909436468 -4.351582746600002),"POLYGON ((-70.3409436468 -4.601582746600002, -69.8409436468 -4.601582746600002, -69.8409436468 -4.101582746600002, -70.3409436468 -4.101582746600002, -70.3409436468 -4.601582746600002))"
POINT (-70.0909436468 -3.851582746600002),"POLYGON ((-70.3409436468 -4.101582746600002, -69.8409436468 -4.101582746600002, -69.8409436468 -3.601582746600002, -70.3409436468 -3.601582746600002, -70.3409436468 -4.101582746600002))"
POINT (-70.0909436468 -3.351582746600002),"POLYGON ((-70.3409436468 -3.601582746600002, -69.8409436468 -3.601582746600002, -69.8409436468 -3.101582746600002, -70.3409436468 -3.101582746600002, -70.3409436468 -3.601582746600002))"
POINT (-70.0909436468 -2.851582746600002),"POLYGON ((-70.3409436468 -3.101582746600002, -69.8409436468 -3.101582746600002, -69.8409436468 -2.601582746600002, -70.3409436468 -2.601582746600002, -70.3409436468 -3.101582746600002))"
POINT (-70.0909436468 -2.351582746600002),"POLYGON ((-70.3409436468 -2.601582746600002, -69.8409436468 -2.601582746600002, -69.8409436468 -2.101582746600002, -70.3409436468 -2.101582746600002, -70.3409436468 -2.601582746600002))"
POINT (-70.0909436468 -1.8515827466000019),"POLYGON ((-70.3409436468 -2.101582746600002, -69.8409436468 -2.101582746600002, -69.8409436468 -1.6015827466000019, -70.3409436468 -1.6015827466000019, -70.3409436468 -2.101582746600002))"
POINT (-70.0909436468 -1.3515827466000019),"POLYGON ((-70.3409436468 -1.6015827466000019, -69.8409436468 -1.6015827466000019, -69.8409436468 -1.1015827466000019, -70.3409436468 -1.1015827466000019, -70.3409436468 -1.6015827466000019))"
POINT (-70.0909436468 -0.8515827466000019),"POLYGON ((-70.3409436468 -1.1015827466000019, -69.8409436468 -1.1015827466000019, -69.8409436468 -0.6015827466000019, -70.3409436468 -0.6015827466000019, -70.3409436468 -1.1015827466000019))"
POINT (-70.0909436468 -0.3515827466000019),"POLYGON ((-70.3409436468 -0.6015827466000019, -69.8409436468 -0.6015827466000019, -69.8409436468 -0.1015827466000019, -70.3409436468 -0.1015827466000019, -70.3409436468 -0.6015827466000019))"
POINT (-70.0909436468 0.1484172533999981),"POLYGON ((-70.3409436468 -0.1015827466000019, -69.8409436468 -0.1015827466000019, -69.8409436468 0.3984172533999981, -70.3409436468 0.3984172533999981, -70.3409436468 -0.1015827466000019))"
POINT (-70.0909436468 0.6484172533999981),"POLYGON ((-70.3409436468 0.3984172533999981, -69.8409436468 0.3984172533999981, -69.8409436468 0.8984172533999981, -70.3409436468 0.8984172533999981, -70.3409436468 0.3984172533999981))"
POINT (-70.0909436468 1.1484172533999981),"POLYGON ((-70.3409436468 0.8984172533999981, -69.8409436468 0.8984172533999981, -69.8409436468 1.3984172533999981, -70.3409436468 1.3984172533999981, -70.3409436468 0.8984172533999981))"
POINT (-70.0909436468 1.6484172533999981),"POLYGON ((-70.3409436468 1.3984172533999981, -69.8409436468 1.3984172533999981, -69.8409436468 1.8984172533999981, -70.3409436468 1.8984172533999981, -70.3409436468 1.3984172533999981))"
POINT (-70.0909436468 2.148417253399998),"POLYGON ((-70.3409436468 1.8984172533999981, -69.8409436468 1.8984172533999981, -69.8409436468 2.398417253399998, -70.3409436468 2.398417253399998, -70.3409436468 1.8984172533999981))"
POINT (-70.0909436468 2.648417253399998),"POLYGON ((-70.3409436468 2.398417253399998, -69.8409436468 2.398417253399998, -69.8409436468 2.898417253399998, -70.3409436468 2.898417253399998, -70.3409436468 2.398417253399998))"
POINT (-69.5909436468 -11.851582746600002),"POLYGON ((-69.8409436468 -12.101582746600002, -69.3409436468 -12.101582746600002, -69.3409436468 -11.601582746600002, -69.8409436468 -11.601582746600002, -69.8409436468 -12.101582746600002))"
POINT (-69.5909436468 -11.351582746600002),"POLYGON ((-69.8409436468 -11.601582746600002, -69.3409436468 -11.601582746600002, -69.3409436468 -11.101582746600002, -69.8409436468 -11.101582746600002, -69.8409436468 -11.601582746600002))"
POINT (-69.5909436468 -10.851582746600002),"POLYGON ((-69.8409436468 -11.101582746600002, -69.3409436468 -11.101582746600002, -69.3409436468 -10.601582746600002, -69.8409436468 -10.601582746600002, -69.8409436468 -11.101582746600002))"
POINT (-69.5909436468 -10.351582746600002),"POLYGON ((-69.8409436468 -10.601582746600002, -69.3409436468 -10.601582746600002, -69.3409436468 -10.101582746600002, -69.8409436468 -10.101582746600002, -69.8409436468 -10.601582746600002))"
POINT (-69.5909436468 -9.851582746600002),"POLYGON ((-69.8409436468 -10.101582746600002, -69.3409436468 -10.101582746600002, -69.3409436468 -9.601582746600002, -69.8409436468 -9.601582746600002, -69.8409436468 -10.101582746600002))"
POINT (-69.5909436468 -9.351582746600002),"POLYGON ((-69.8409436468 -9.601582746600002, -69.3409436468 -9.601582746600002, -69.3409436468 -9.101582746600002, -69.8409436468 -9.101582746600002, -69.8409436468 -9.601582746600002))"
POINT (-69.5909436468 -8.851582746600002),"POLYGON ((-69.8409436468 -9.101582746600002, -69.3409436468 -9.101582746600002, -69.3409436468 -8.601582746600002, -69.8409436468 -8.601582746600002, -69.8409436468 -9.101582746600002))"
POINT (-69.5909436468 -8.351582746600002),"POLYGON ((-69.8409436468 -8.601582746600002, -69.3409436468 -8.601582746600002, -69.3409436468 -8.101582746600002, -69.8409436468 -8.101582746600002, -69.8409436468 -8.601582746600002))"
POINT (-69.5909436468 -7.851582746600002),"POLYGON ((-69.8409436468 -8.101582746600002, -69.3409436468 -8.101582746600002, -69.3409436468 -7.601582746600002, -69.8409436468 -7.601582746600002, -69.8409436468 -8.101582746600002))"
POINT (-69.5909436468 -7.351582746600002),"POLYGON ((-69.8409436468 -7.601582746600002, -69.3409436468 -7.601582746600002, -69.3409436468 -7.101582746600002, -69.8409436468 -7.101582746600002, -69.8409436468 -7.601582746600002))"
POINT (-69.5909436468 -6.851582746600002),"POLYGON ((-69.8409436468 -7.101582746600002, -69.3409436468 -7.101582746600002, -69.3409436468 -6.601582746600002, -69.8409436468 -6.601582746600002, -69.8409436468 -7.101582746600002))"
POINT (-69.5909436468 -6.351582746600002),"POLYGON ((-69.8409436468 -6.601582746600002, -69.3409436468 -6.601582746600002, -69.3409436468 -6.101582746600002, -69.8409436468 -6.101582746600002, -69.8409436468 -6.601582746600002))"
POINT (-69.5909436468 -5.851582746600002),"POLYGON ((-69.8409436468 -6.101582746600002, -69.3409436468 -6.101582746600002, -69.3409436468 -5.601582746600002, -69.8409436468 -5.601582746600002, -69.8409436468 -6.101582746600002))"
POINT (-69.5909436468 -5.351582746600002),"POLYGON ((-69.8409436468 -5.601582746600002, -69.3409436468 -5.601582746600002, -69.3409436468 -5.101582746600002, -69.8409436468 -5.101582746600002, -69.8409436468 -5.601582746600002))"
POINT (-69.5909436468 -4.851582746600002),"POLYGON ((-69.8409436468 -5.101582746600002, -69.3409436468 -5.101582746600002, -69.3409436468 -4.601582746600002, -69.8409436468 -4.601582746600002, -69.8409436468 -5.101582746600002))"
POINT (-69.5909436468 -4.351582746600002),"POLYGON ((-69.8409436468 -4.601582746600002, -69.3409436468 -4.601582746600002, -69.3409436468 -4.101582746600002, -69.8409436468 -4.101582746600002, -69.8409436468 -4.601582746600002))"
POINT (-69.5909436468 -3.851582746600002),"POLYGON ((-69.8409436468 -4.101582746600002, -69.3409436468 -4.101582746600002, -69.3409436468 -3.601582746600002, -69.8409436468 -3.601582746600002, -69.8409436468 -4.101582746600002))"
POINT (-69.5909436468 -3.351582746600002),"POLYGON ((-69.8409436468 -3.601582746600002, -69.3409436468 -3.601582746600002, -69.3409436468 -3.101582746600002, -69.8409436468 -3.101582746600002, -69.8409436468 -3.601582746600002))"
POINT (-69.5909436468 -2.851582746600002),"POLYGON ((-69.8409436468 -3.101582746600002, -69.3409436468 -3.101582746600002, -69.3409436468 -2.601582746600002, -69.8409436468 -2.601582746600002, -69.8409436468 -3.101582746600002))"
POINT (-69.5909436468 -2.351582746600002),"POLYGON ((-69.8409436468 -2.601582746600002, -69.3409436468 -2.601582746600002, -69.3409436468 -2.101582746600002, -69.8409436468 -2.101582746600002, -69.8409436468 -2.601582746600002))"
POINT (-69.5909436468 -1.8515827466000019),"POLYGON ((-69.8409436468 -2.101582746600002, -69.3409436468 -2.101582746600002, -69.3409436468 -1.6015827466000019, -69.8409436468 -1.6015827466000019, -69.8409436468 -2.101582746600002))"
POINT (-69.5909436468 -1.3515827466000019),"POLYGON ((-69.8409436468 -1.6015827466000019, -69.3409436468 -1.6015827466000019, -69.3409436468 -1.1015827466000019, -69.8409436468 -1.1015827466000019, -69.8409436468 -1.6015827466000019))"
POINT (-69.5909436468 -0.8515827466000019),"POLYGON ((-69.8409436468 -1.1015827466000019, -69.3409436468 -1.1015827466000019, -69.3409436468 -0.6015827466000019, -69.8409436468 -0.6015827466000019, -69.8409436468 -1.1015827466000019))"
POINT (-69.5909436468 -0.3515827466000019),"POLYGON ((-69.8409436468 -0.6015827466000019, -69.3409436468 -0.6015827466000019, -69.3409436468 -0.1015827466000019, -69.8409436468 -0.1015827466000019, -69.8409436468 -0.6015827466000019))"
POINT (-69.5909436468 0.1484172533999981),"POLYGON ((-69.8409436468 -0.1015827466000019, -69.3409436468 -0.1015827466000019, -69.3409436468 0.3984172533999981, -69.8409436468 0.3984172533999981, -69.8409436468 -0.1015827466000019))"
POINT (-69.5909436468 0.6484172533999981),"POLYGON ((-69.8409436468 0.3984172533999981, -69.3409436468 0.3984172533999981, -69.3409436468 0.8984172533999981, -69.8409436468 0.8984172533999981, -69.8409436468 0.3984172533999981))"
POINT (-69.5909436468 1.1484172533999981),"POLYGON ((-69.8409436468 0.8984172533999981, -69.3409436468 0.8984172533999981, -69.3409436468 1.3984172533999981, -69.8409436468 1.3984172533999981, -69.8409436468 0.8984172533999981))"
POINT (-69.5909436468 1.6484172533999981),"POLYGON ((-69.8409436468 1.3984172533999981, -69.3409436468 1.3984172533999981, -69.3409436468 1.8984172533999981, -69.8409436468 1.8984172533999981, -69.8409436468 1.3984172533999981))"
POINT (-69.5909436468 2.148417253399998),"POLYGON ((-69.8409436468 1.8984172533999981, -69.3409436468 1.8984172533999981, -69.3409436468 2.398417253399998, -69.8409436468 2.398417253399998, -69.8409436468 1.8984172533999981))"
POINT (-69.5909436468 2.648417253399998),"POLYGON ((-69.8409436468 2.398417253399998, -69.3409436468 2.398417253399998, -69.3409436468 2.898417253399998, -69.8409436468 2.898417253399998, -69.8409436468 2.398417253399998))"
POINT (-69.0909436468 -11.851582746600002),"POLYGON ((-69.3409436468 -12.101582746600002, -68.8409436468 -12.101582746600002, -68.8409436468 -11.601582746600002, -69.3409436468 -11.601582746600002, -69.3409436468 -12.101582746600002))"
POINT (-69.0909436468 -11.351582746600002),"POLYGON ((-69.3409436468 -11.601582746600002, -68.8409436468 -11.601582746600002, -68.8409436468 -11.101582746600002, -69.3409436468 -11.101582746600002, -69.3409436468 -11.601582746600002))"
POINT (-69.0909436468 -10.851582746600002),"POLYGON ((-69.3409436468 -11.101582746600002, -68.8409436468 -11.101582746600002, -68.8409436468 -10.601582746600002, -69.3409436468 -10.601582746600002, -69.3409436468 -11.101582746600002))"
POINT (-69.0909436468 -10.351582746600002),"POLYGON ((-69.3409436468 -10.601582746600002, -68.8409436468 -10.601582746600002, -68.8409436468 -10.101582746600002, -69.3409436468 -10.101582746600002, -69.3409436468 -10.601582746600002))"
POINT (-69.0909436468 -9.851582746600002),"POLYGON ((-69.3409436468 -10.101582746600002, -68.8409436468 -10.101582746600002, -68.8409436468 -9.601582746600002, -69.3409436468 -9.601582746600002, -69.3409436468 -10.101582746600002))"
POINT (-69.0909436468 -9.351582746600002),"POLYGON ((-69.3409436468 -9.601582746600002, -68.8409436468 -9.601582746600002, -68.8409436468 -9.101582746600002, -69.3409436468 -9.101582746600002, -69.3409436468 -9.601582746600002))"
POINT (-69.0909436468 -8.851582746600002),"POLYGON ((-69.3409436468 -9.101582746600002, -68.8409436468 -9.101582746600002, -68.8409436468 -8.601582746600002, -69.3409436468 -8.601582746600002, -69.3409436468 -9.101582746600002))"
POINT (-69.0909436468 -8.351582746600002),"POLYGON ((-69.3409436468 -8.601582746600002, -68.8409436468 -8.601582746600002, -68.8409436468 -8.101582746600002, -69.3409436468 -8.101582746600002, -69.3409436468 -8.601582746600002))"
POINT (-69.0909436468 -7.851582746600002),"POLYGON ((-69.3409436468 -8.101582746600002, -68.8409436468 -8.101582746600002, -68.8409436468 -7.601582746600002, -69.3409436468 -7.601582746600002, -69.3409436468 -8.101582746600002))"
POINT (-69.0909436468 -7.351582746600002),"POLYGON ((-69.3409436468 -7.601582746600002, -68.8409436468 -7.601582746600002, -68.8409436468 -7.101582746600002, -69.3409436468 -7.101582746600002, -69.3409436468 -7.601582746600002))"
POINT (-69.0909436468 -6.851582746600002),"POLYGON ((-69.3409436468 -7.101582746600002, -68.8409436468 -7.101582746600002, -68.8409436468 -6.601582746600002, -69.3409436468 -6.601582746600002, -69.3409436468 -7.101582746600002))"
